年月日,降水量,平均気温,最高気温,最低気温,平均湿度,最小湿度,日照時間
2024/1/1,0.0,9.2,12.5,4.4,48.0,31.0,8.9
2024/1/2,0.0,6.1,9.2,2.8,65.0,45.0,1.7
2024/1/3,0.0,7.4,11.0,2.8,72.0,53.0,0.5
2024/1/4,0.0,9.7,15.3,6.3,58.0,31.0,6.6
2024/1/5,0.0,7.4,13.6,2.9,57.0,40.0,8.6
2024/1/6,0.0,9.1,15.6,3.0,61.0,39.0,8.9
2024/1/7,0.0,8.3,12.7,5.7,53.0,29.0,3.2
2024/1/8,0.0,5.4,10.2,2.7,43.0,19.0,8.8
2024/1/9,0.0,5.4,11.0,1.5,49.0,36.0,8.8
2024/1/10,0.0,7.2,12.3,1.7,52.0,37.0,6.5
2024/1/11,0.0,4.8,7.2,1.8,51.0,35.0,0.6
2024/1/12,0.0,7.1,13.7,0.1,53.0,38.0,9.0
2024/1/13,2.0,5.9,11.7,1.2,59.0,38.0,5.2
2024/1/14,0.0,6.4,10.5,0.2,49.0,35.0,9.1
2024/1/15,0.0,6.3,11.4,2.4,44.0,30.0,8.1
2024/1/16,0.0,3.7,7.0,0.0,43.0,25.0,7.7
2024/1/17,0.0,6.2,12.2,0.8,48.0,27.0,9.1
2024/1/18,0.0,8.5,13.4,2.5,49.0,34.0,4.0
2024/1/19,0.0,10.2,15.1,7.6,58.0,44.0,7.4
2024/1/20,2.5,6.3,7.6,4.6,69.0,53.0,0.0
2024/1/21,31.5,8.1,12.1,4.6,90.0,61.0,0.6
2024/1/22,0.0,10.7,14.6,6.7,76.0,58.0,4.3
2024/1/23,0.0,9.0,13.9,5.5,65.0,36.0,7.9
2024/1/24,0.0,4.5,8.4,1.1,31.0,18.0,5.8
2024/1/25,0.0,4.2,9.6,-1.1,30.0,18.0,9.3
2024/1/26,0.0,6.2,12.0,1.8,35.0,22.0,9.4
2024/1/27,0.0,7.2,12.2,2.9,38.0,26.0,9.2
2024/1/28,0.0,6.0,9.6,2.8,50.0,36.0,1.7
2024/1/29,0.0,6.8,11.9,2.4,51.0,28.0,9.3
2024/1/30,0.0,7.7,13.3,4.0,52.0,28.0,9.0
2024/1/31,0.0,9.3,14.1,2.7,63.0,40.0,9.3
2024/2/1,0.0,9.8,16.3,5.0,48.0,34.0,5.0
2024/2/2,0.0,5.0,7.6,3.3,43.0,35.0,0.4
2024/2/3,0.0,6.9,11.7,3.4,44.0,29.0,8.7
2024/2/4,5.0,4.9,6.9,2.6,77.0,44.0,0.0
2024/2/5,35.0,3.0,6.2,0.3,75.0,46.0,0.0
2024/2/6,2.0,3.4,5.4,0.8,93.0,87.0,0.0
2024/2/7,0.0,4.7,9.6,-0.1,69.0,41.0,9.2
2024/2/8,0.0,5.7,11.3,1.2,59.0,37.0,6.9
2024/2/9,0.0,6.8,11.3,2.5,56.0,37.0,6.9
2024/2/10,0.0,7.1,12.4,1.8,61.0,41.0,9.5
2024/2/11,0.0,8.1,12.8,4.3,47.0,28.0,6.4
2024/2/12,0.0,7.3,12.7,3.6,50.0,24.0,9.0
2024/2/13,0.0,9.6,17.3,1.6,52.0,37.0,9.7
2024/2/14,0.0,10.9,18.5,4.2,45.0,19.0,8.1
2024/2/15,0.0,14.4,21.1,6.1,63.0,47.0,7.7
2024/2/16,0.0,10.6,17.0,6.2,46.0,21.0,8.8
2024/2/17,0.0,9.0,13.6,4.6,58.0,43.0,2.1
2024/2/18,0.0,13.4,18.8,9.2,69.0,49.0,6.9
2024/2/19,5.0,15.0,17.2,12.8,85.0,69.0,0.1
2024/2/20,0.0,18.1,23.7,12.8,78.0,60.0,5.2
2024/2/21,5.5,8.7,13.2,7.3,91.0,70.0,0.0
2024/2/22,6.5,5.5,8.0,3.6,95.0,87.0,0.0
2024/2/23,6.5,2.8,4.0,1.7,93.0,74.0,0.0
2024/2/24,0.0,5.3,10.3,1.2,60.0,37.0,9.5
2024/2/25,8.5,4.4,5.8,3.5,84.0,60.0,0.0
2024/2/26,0.5,7.8,13.3,4.8,57.0,31.0,9.4
2024/2/27,0.0,7.0,11.4,4.1,39.0,26.0,10.7
2024/2/28,0.0,8.3,14.4,4.1,40.0,23.0,10.8
